country;pearson_corr;p_value
India;0.9971815477084972;6.518685425100346e-32
Bangladesh;0.9969898809710703;1.5827425609186349e-31
Uganda;0.992640003364632;2.693770919788435e-26
Vietnam;0.9918679043348197;1.0310706814026747e-25
Tanzania;0.9916628744846279;1.4413038146819037e-25
Trinidad and Tobago;0.9900347968953324;1.5865984439995824e-24
Oman;0.9898746084434362;1.9658798954942455e-24
Tunisia;0.9897634197937548;2.276701694574645e-24
United Arab Emirates;0.9895525670304146;1.495929836120784e-22
Ethiopia;0.989452036497677;3.405656894462191e-24
Turkey;0.9872604486087951;4.2997024874600795e-23
China;0.9864922955524441;9.435306267979086e-23
Egypt;0.9861723065620447;1.2918528880291654e-22
South Korea;0.9853978526664565;2.683785932702233e-22
Iran;0.9841026123979177;8.389276711866624e-22
Morocco;0.9816472378534508;5.7483599063381155e-21
Benin;0.9810780569168596;8.652899492201509e-21
Malaysia;0.9796346114038307;2.314707838865059e-20
Indonesia;0.9795619425719937;2.42769549181439e-20
Brazil;0.9794725497257766;2.5736771403632455e-20
Argentina;0.9767108226634287;1.3917630555307712e-19
Honduras;0.9764252748834817;1.6378902050184894e-19
Chile;0.975763365054311;2.3710516697501675e-19
Ghana;0.9749337305822687;3.7166879895101016e-19
Burkina Faso;0.9737043661082758;7.042584560156832e-19
Pakistan;0.9731156998171179;9.463037763336527e-19
Sri Lanka;0.9697902865886668;4.479878796204784e-18
Guinea;0.9695784572487742;4.916898102229301e-18
Jordan;0.9691993855972744;5.798626596324251e-18
Mauritius;0.9689550617674088;6.442039338900586e-18
Thailand;0.9685787460714491;7.563115883607398e-18
Cameroon;0.9665259586223736;1.755822618395242e-17
Senegal;0.9640561645855709;4.52389073384753e-17
Panama;0.9614380396734442;1.1189542383810599e-12
Saudi Arabia;0.9613760771761486;1.1755954521759968e-16
Bahrain;0.9609777036797947;1.3470870234516005e-16
Ecuador;0.9592691253390325;2.3781990849507975e-16
Qatar;0.9574088532448848;4.2983323446576105e-16
Philippines;0.957183747482179;4.609205395507981e-16
Guatemala;0.9545807871894836;1.0067830519014248e-15
Cambodia;0.9479184280828467;6.140892097978889e-15
Australia;0.9424674494770994;2.2788483592410538e-14
Kenya;0.9401623602745985;3.8199471148890154e-14
Peru;0.9368833562205008;7.697126777912821e-14
Nicaragua;0.9346052330718086;1.2254408902378812e-13
Botswana;0.9340165700191059;1.3781647333820498e-13
Mexico;0.9336059371569484;1.494879575768418e-13
Taiwan;0.9330660847377024;1.6621879300918467e-13
Rwanda;0.9242802613700877;8.334107379913104e-13
Paraguay;0.9167346011583268;2.8711142170962827e-12
Costa Rica;0.9165963986574979;2.9336694306314307e-12
Bolivia;0.9129146335345313;5.140566096504003e-12
Nepal;0.9021490826728293;2.322857765176976e-11
Madagascar;0.896268996297322;4.9273845698446485e-11
Mongolia;0.890939749461497;9.380428796325145e-11
South Africa;0.8903708272391595;1.0028082764295313e-10
Zambia;0.8869547527074852;1.4860937184245644e-10
Malawi;0.8863168930147829;1.5971255797671572e-10
Cote d'Ivoire;0.8856717283950766;1.7171255409470575e-10
Colombia;0.8715783700376045;7.563638761220437e-10
Dominican Republic;0.8667789260615407;1.2049954881175835e-09
Mozambique;0.8656166597611434;1.3452238281458138e-09
Cyprus;0.8519278763637526;4.577755532038144e-09
Canada;0.8505795482927246;5.130438306327969e-09
Laos;0.8468287391940523;7.0042715405613315e-09
Nigeria;0.8451063198585514;8.058569130403432e-09
El Salvador;0.8328100710126182;2.0927450655735927e-08
New Zealand;0.8268951863284338;3.2240913381278705e-08
Kazakhstan;0.8228813995005103;4.2836927778522356e-08
Armenia;0.8074976005650594;1.1963483809735285e-07
Albania;0.785406694479373;4.503329698339643e-07
Hong Kong;0.7502490866715494;2.7812693028032725e-06
Israel;0.7471826286248475;3.2143482611140694e-06
